Project Name,Company Name,Project Location,Min. Price per sq.ft.,Configurations,Possession Date,Super Builtup Area
Ganga Utopia, Goel Ganga Developments ,"S NO 46/1/A 46/1/B Gloria Ambrosia Connector, Pranjali Patil Nagar, Bavdhan, Pune",Price on request,"Dec, 2023",761.45 sqft. - 1089.10 sqft.
Unique Legacy Majestic, Unique Group ,"Plot No. 35/1A/6, 35/1A/15, 36/2A/14, Mundhwa, Pune","8,616 per sqft.",2 BHK Apartment,"Oct, 2023",543.25 sqft. - 631.41 sqft.
Shapoorji Pallonji Hinjawadi I Phase 3, Shapoorji Pallonji Real Estate ,"Hinjewadi, Pune","8,402 per sqft.","1, 2 BHK Apartments","Jun, 2022",414.20 sqft. - 591.80 sqft.
GHP Vaishakh, GHP Group ,"CTS No. 551/41 Of Village Nahur, Mulund West, Mumbai",Price on request,"Dec, 2023",674.90 sqft. - 780.06 sqft.
Pride Park Royale, Pride Group ,"124, Military Road, Adj. To Bharatvan Garden, Marol, Andheri (East), Mumbai, Mumbai","25,000 per sqft.","2, 3 BHK Apartments", Under Construction ,742.00 sqft. - 1012.00 sqft.
Unimont Aurum, Unimont Group ,"Gut No.102, Opp. HP Petrol Pump, Karjat-Murbad Road, Dahiwali Village, Dahivali",Price on request,"May, 2024",17.96 sq.mt. - 51.02 sq.mt.
Konark Meadows, Atlanta Landmark ,"konark Meadows, Kalyan Murbad Road, Varap, Tal - Kalyan, District -Thane, Shahad, Shahad","6,762 per sqft.","1, 2, 3 BHK Apartments","Dec, 2021",525.00 sqft. - 953.00 sqft.
Blumen, Dotom Realty ,"Station Road, Opposite Malvan Samundra Restaurant, Vikhroli West, Vikhroli",Price on request,"Dec, 2022",424.00 sqft. - 645.00 sqft.
Nexzone, Marathon Group ,"National Highway 4B, Near Phalaspe Phata, Panvel, Navi Mumbai",Price on request, Ready to Move ,449.00 sqft. - 913.00 sqft.
Amore, Wave Mega City Centre Pvt Ltd ,"Wave city Center,  Amore tower 2B, Plot No.1 CC1, Sector 32 Noida – 201301 (UP), Noida","9,650 per sqft.","2, 3, 4 BHK Apartments", Ready to Move ,1609.00 sqft. - 3117.00 sqft.
CRC Sublimis, CRC Group ,"Sector 1 Noida Extension, Noida","3,513 per sqft.","2, 2.5, 3 BHK Apartments","Mar, 2024",982.00 sqft. - 1485.00 sqft.
Prateek Canary, Prateek Group ,"Sector 150, Noida-Greater Noida Expressway",Price on request,"Apr, 2027",1700.00 sqft. - 6100.00 sqft.
Paramount Emotions, Paramount Propbuild Pvt Ltd ,"Plot No. GH-05A, Sector 1, Noida","2,849 per sqft.","2, 3 BHK Apartments", Ready to Move ,950.00 sqft. - 1710.00 sqft.
Gaursons 16th Park View Independent Floors, Gaurs Group ,"Sector 19 Yamuna Expressway, Yeida, Greater Noida","4,373 per sqft.",3 BHK Apartment,"Nov, 2022",1109.97 sqft.
SKA Metro Ville, SKA Group ,"ETA 2, Greater Noida","2,340 per sqft.","2, 3, 3.5 BHK Apartments","Dec, 2021",920.00 sqft. - 1670.00 sqft.
Future Rhythm County, Future World ,"Plot No. GH 16 E, Sector 1 Noida Extension, Near Balak Vidhya College, Greater Noida, Noida","2,799 per sqft.","2, 2.5, 3 BHK Apartments","Mar, 2020",1080.00 sqft. - 1500.00 sqft.
VVIP Meridian Tower, VVIP	 ,"Sector -16C GC-2 Greater Noida, Greater Noida","3,299 per sqft.","2, 3, 4 BHK Apartments", Under Construction ,1090.00 sqft. - 2630.00 sqft.
Dasnac The Jewel of Noida, Dasnac ,"Plot No. 14, Sector 75, Noida","7,500 per sqft.","2, 3, 4 BHK Apartments", Ready to Move ,1260.00 sqft. - 2700.00 sqft.
Paramount Golfforeste Villas, Paramount Propbuild Pvt Ltd ,"Plot No. BGH A, Site C 9 (Housing Extension Road), Opposite Sector Zeta, Noida","3,634 per sqft.","2.5, 3, 4 BHK Villas", Ready to Move in ,1650.00 sqft. - 3008.00 sqft.
Ramky Greenview Apartments, Ramky Estates & Farms Ltd ,"At Ramky Discovery City, Near Hyderabad International Airport, ORR Exit No. 14, Srisailam Road, South Hyderabad","3,850 per sqft.","2, 3 BHK Apartments","Mar, 2022",980.00 sqft. - 2060.00 sqft.
Bricks Skywoods, Bricks Infratech ,"Survey No 177 Part, Gopanpally, Gopanapalli Thanda","5,400 per sqft.","2, 3 BHK Apartments","Nov, 2022",1200.39 sqft. - 2175.82 sqft.
Sri Aditya Athena, Sri Aditya Homes Pvt. Ltd. ,"OU Colony, Shaikpet","6,400 per sqft.",3 BHK Apartment,"Dec, 2023",2035.00 sqft. - 2435.00 sqft.
S And S Green Grace, S&S Green Projects ,"Gachibowli, West Hyderabad","6,699 per sqft.",3 BHK Apartment, Ready to Move ,2405.00 sqft. - 2800.00 sqft.
Halcyon Homes, CMG Builders ,"S No. 15/1 15/2 15/3 And 15/4, Plot No. Of Site, At Osmannagar, Near Tellapur, West Hyderabad","6,800 per sqft.","4, 5 BHK Villas","Dec, 2024",3429.00 sqft. - 4600.00 sqft.
Omsree Signet, Om Sree Builders & Developers ,"Generals Road, Yapral, Secunderabad","5,100 per sqft.","3, 4 BHK Apartments","Jun, 2021",2435.00 sqft. - 3835.00 sqft.
Tulip Violet, Tulip Infratech Pvt Ltd ,"Near Unitech Sunbreeze, Golf Course Extension Road",Price on request, Ready to Move ,1017.00 sqft. - 1256.00 sqft.
Tulip Ace, Tulip Infratech Pvt Ltd ,"Sector- 89, Gurgaon","3,721 per sqft.","4, 5 BHK Apartments", Ready to Move ,3030.00 sqft. - 4031.00 sqft.
Hero Homes Gurgaon, Hero Realty Private Limited ,"Sector 104, Gurgaon",Price on request,"Nov, 2022",1099.00 sqft. - 1689.00 sqft.
Tulip Leaf, Tulip Infratech Pvt Ltd ,"Sector 69, Gurgaon",Price on request,"Mar, 2022",1039.30 sqft.
Poonam Pride, B R Developer ,"Behind Applewoods, Near Shanti Asiatic School Back Side Club 07, Opp. Vraj Gardens, Shela, S.P. Ring Road, Near South Bopal, Shela",Price on request, Possession Started ,3060.00 sqft. - 4950.00 sqft.
Corus Heights, Corus Infrastructre ,"B/H Sarjan Appartments, Nr Aryan City, New S.G Road, Gota, Gota","3,333 per sqft.",3 BHK Apartment,"Mar, 2023",1845.00 sqft.
Ralsi Maighar Residency, Ralsi Developers ,"Opp. Dps School, B/H. ISRO-Bopal, Shilaj-Bopal-Ghuma Road, Bopal","2,636 per sqft.",3 BHK Apartment,"Dec, 2024",1400.00 sqft.
DEVASVA 29, Notion Developers ,"Opp. Satya Sai Heart Hospital, Kasindra - Tajpur Road, Kasindra, Ahmedabad","3,310 per sqft.","2, 3 BHK Villas","Sep, 2019",2025.00 sqft. - 2520.00 sqft.
Anand Elegance, Anand Developers ,"Near Samay Shine, Opp. Praharsh Bluebell Office, Off 45 Mtr Karnavati Club Road, Ahmedabad","5,497 per sqft.",2 BHK Apartment, Under Construction ,750.40 sqft. - 769.88 sqft.
Swara The Orb, Swara Group ,"102, Swastik Society, B/s Sparsh Hospital, Near Commerce Six Road, Navrangpura, Navrangpura","5,989 per sqft.",4 BHK Apartment,"Jul, 2021",3807.00 sqft.
Shaligram Shaligram Square, Shaligram Group ,"Satymev Vista Off Sg Highway Gota, Gota","3,650 per sqft.",3 BHK Apartment,"Jun, 2021",2025.00 sqft. - 2079.00 sqft.
Davda Bellevue Vieraaa, Davda Infrastructure Pvt. Ltd. ,"Village : Adroda, Bavla",Price on request, Ready to Move ,720.00 sqft. - 9000.00 sqft.
BERYL, Krishna Infra ,"FP No. 118/2, B/h Raysan Petrol Pump, Koba Gandhinagar Road, Raysan, Gandhinagar, Raysan","27,999 per sq.yd.",3 BHK Apartment,"Mar, 2022",251.00 sq.yd. - 277.00 sq.yd.
Maple Tree, Ganesh Housing ,"Nr. Surdhara Circle, SAL Hospital Road, Thaltej",Price on request, Ready to Move ,1908.20 sqft. - 4690.74 sqft.
