State Name/Location,pricing,Emi,Project Name,Location,Config,Possession Status
bhopal,11.22 L - 24.51 L,EMI starts at 15.2 K,Shri Balaji Swastik Paras Enclave,"Jatkhedi, Bhopal","1, 2, 3 BHK Apartments",Ready to Move
bhopal,11.93 L,EMI starts at 7.4 K,Paras Gulab Vihar,"Sehore, Bhopal",2 BHK Apartment,Ready to Move
bhopal,9.99 L - 12.5 L,EMI starts at 7.7 K,Shri Prabhakar Sheetal Mega Heights,"Mandideep, Bhopal","1, 2 BHK Apartments",Ready to Move
bhopal,23.99 L,EMI starts at 14.9 K,BM Coral Casa,"Navi Bagh, Bhopal",3 BHK Apartment,Ready to Move
bhopal,Price on Request,Shri Balaji Swastik Grand,"Jatkhedi, Bhopal","2, 2.5, 3, 3.5, 4 BHK Apartment, Penthouses",Ready to Move
bhopal,9.99 L - 12.99 L,EMI starts at 8.1 K,Shri Parasnath Himanshu Wings,"Mandideep, Bhopal","1, 2 BHK Apartments",Ready to Move
bhopal,24.5 L,EMI starts at 15.2 K,AG8 Narmada,"Ratanpur, Bhopal",3 BHK Apartment,Ready to Move
bhopal,22.9 L - 36.41 L,EMI starts at 22.7 K,Agrawal Sagar Golden Palm,"Bagli Village, Bhopal","2, 3, 4 BHK Apartment, Penthouses",Ready to Move
bhopal,21.72 L - 29.83 L,EMI starts at 18.6 K,Agrawal Sagar Lifestyle Towers,"Misrod, Bhopal","2, 3 BHK Apartments",Ready to Move
bhopal,3.04 L,EMI starts at 1.8 K,VDB Saubhagya City Phase 2,"Barkhedi Abdulla, Bhopal",2 BHK Row House,"Jul, 2018"
bhopal,15.2 L,EMI starts at 9.4 K,Rai Bhavya City Phase II,"Khamkheda, Bhopal",2 BHK Duplex,Ready to Move
bhopal,14.85 L - 20.34 L,EMI starts at 12.6 K,IBD Hallmark Citii,"Mahawadiya, Bhopal","2, 3 BHK Apartments",Ready to Move
bhopal,12.55 L - 23.56 L,EMI starts at 14.6 K,Shanti Enclave,"Chandukhedi, Bhopal","2, 4 BHK Bungalows",Ready to Move
bhopal,12.99 L - 25.4 L,EMI starts at 15.8 K,Devsons Devcity,"Obaidullaganj, Bhopal","2, 3 BHK Apartment, Duplexes",Ready to Move
nagpur_maharashtra,27 L,EMI starts at 16.8 K,M. K. Mahavir Swami Apartment,"Hansapuri, Nagpur",2 BHK Apartment,Ready to Move
nagpur_maharashtra,35.2 L,EMI starts at 21.9 K,Angel's Bharatwada Project,"Kalmana, Nagpur",3 BHK Apartment,Ready to Move
nagpur_maharashtra,44.86 L,EMI starts at 27.9 K,Mahalaxmi Apartment 2,"Sanmarga Nagar, Nagpur",2 BHK Apartment,Ready to Move
nagpur_maharashtra,29.4 L,EMI starts at 18.3 K,Shree Siddheshwar Shree Ekdant Apartment,"Ashirwad Nagar, Nagpur",3 BHK Apartment,Ready to Move
nagpur_maharashtra,57.84 L,EMI starts at 36 K,Aashray Pearl,"Chatrapati Nagar, Nagpur",2 BHK Apartment,Ready to Move
nagpur_maharashtra,58.25 L - 70.5 L,EMI starts at 43.9 K,Gurudeo Heights,"Nandanvan, Nagpur","2, 3 BHK Apartments",Ready to Move
nagpur_maharashtra,25.65 L,EMI starts at 15.9 K,Infra Power Ozar,"Vaishali Nagar, Nagpur",2 BHK Apartment,Ready to Move
nagpur_maharashtra,49 L,EMI starts at 30.5 K,Renuka Sai XV,"Swaraj Nagar, Nagpur",3 BHK Duplex,Ready to Move
nagpur_maharashtra,55.8 L - 1.03 Cr,EMI starts at 59.9 K,Dream Royal,"Manav Seva Nagar, Nagpur","3, 4 BHK Apartments",Ready to Move
nagpur_maharashtra,46.2 L,EMI starts at 28.8 K,Renuka Sai XIII,"Jaiprakash Nagar, Nagpur",3 BHK Apartment,Ready to Move
nagpur_maharashtra,1.2 Cr,EMI starts at 70.1 K,Dhawan Gokul Kahan,"Abhyankar Nagar, Nagpur",3 BHK Apartment,Ready to Move
nagpur_maharashtra,8.12 L - 45 L,EMI starts at 28 K,Pushkar Orchid Greens,"Borkhedi, Nagpur","1 RK, 1, 2, 3, 4 BHK Apartment, Duplex, Studio Apartment, Row Houses",Ready to Move
nagpur_maharashtra,20.26 L - 25.73 L,EMI starts at 16 K,Shanti Maple Enclave,"Police Nagar, Nagpur",2 BHK Apartment,Ready to Move
nagpur_maharashtra,2.57 Cr,EMI starts at 1.5 Lacs,Concrete Hare Krishna Apartments,"Shivaji Nagar, Nagpur",4 BHK Apartment,Ready to Move
nagpur_maharashtra,67.8 L - 68.1 L,EMI starts at 42.4 K,Concept Arunodaya,"Samarth Nagar East, Nagpur","2, 3 BHK Apartments",Ready to Move
nagpur_maharashtra,16.12 L - 1.03 Cr,EMI starts at 60.4 K,FIRE Arcor The Empyrean,"Kotewada, Nagpur","1, 2, 3, 4.5 BHK Villa, Apartment, Bungalows",Ready to Move
nagpur_maharashtra,47.01 L - 1.62 Cr,EMI starts at 94.9 K,Radha Madhav Vrindavan,"Jamtha, Nagpur","2, 3, 4, 6 BHK Villa, Row House, Apartment, Bungalow, Duplexes",Ready to Move
nagpur_maharashtra,11.0 L - 13.79 L,EMI starts at 8.6 K,Vishal Kanchanganga,"Mondha, Nagpur",2 BHK Apartment,"Dec, 2023"
nagpur_maharashtra,13.17 L - 49.43 L,EMI starts at 30.8 K,Radha Vrindavan Phase 1,"Jamtha, Nagpur","1, 2, 3, 4 BHK Apartments","Dec, 2027"
nagpur_maharashtra,Price on Request,City Homes Phase 1,"Jamtha, Nagpur","1, 2, 2.5, 3 BHK Apartments","Oct, 2025"
nagpur_maharashtra,44.24 L - 63.21 L,EMI starts at 39.4 K,Om Shivam Shiv Kailasa Phase I,"MIHAN, Nagpur","2, 3 BHK Apartments","Dec, 2019"
nagpur_maharashtra,Price on Request,Tirupati Rajatbhoomi 5,"Jamtha, Nagpur",Residential Plots,"Dec, 2019"
nagpur_maharashtra,Price on Request,Mahindra Bloomdale,"MIHAN, Nagpur","3, 4 BHK Row House, Duplex, Villas","Feb, 2020"
nagpur_maharashtra,2.57 Cr,EMI starts at 1.5 Lacs,Concrete Hare Krishna Apartments,"Shivaji Nagar, Nagpur",4 BHK Apartment,Ready to Move
nagpur_maharashtra,Price on Request,Raghukul Samarpan,"Shivaji Nagar, Nagpur","3, 4 BHK Apartments",Ready to Move
nagpur_maharashtra,2.28 Cr - 2.31 Cr,EMI starts at 1.34 Lacs,Universal Cross Wind,"Gandhi Nagar, Nagpur",4 BHK Apartment,"Dec, 2021"
nagpur_maharashtra,69.9 L - 1.7 Cr,EMI starts at 99.3 K,Goldbricks Anandam World City Part Of Tower A B And D,"Ganeshpeth Colony, Nagpur","2, 3, 4 BHK Apartments","Aug, 2023"
nagpur_maharashtra,Price on Request,Kukreja Embassy,"Byramji Town, Nagpur","3, 4, 5.5 BHK Apartments","Dec, 2020"
nagpur_maharashtra,Price on Request,Beacon Empress Royal A To D,"Empress City, Nagpur","2, 3, 4 BHK Apartments","Dec, 2024"
nagpur_maharashtra,1.14 Cr,EMI starts at 66.6 K,Kalash Enclave,"Khamla, Nagpur","3 BHK Apartment, Duplex","Jun, 2020"
nagpur_maharashtra,3.69 Cr,EMI starts at 2.15 Lacs,Aryaman Royalty,"Ramdaspeth, Nagpur",4.5 BHK Apartment,Ready to Move
nagpur_maharashtra,1.33 Cr,EMI starts at 77.6 K,Concrete Satya Enclave,"Ramdaspeth, Nagpur",3 BHK Apartment,Ready to Move
nagpur_maharashtra,1.68 Cr - 1.69 Cr,EMI starts at 99 K,Concrete Narayana Heights,"Dhantoli, Nagpur",3 BHK Apartment,Ready to Move
nagpur_maharashtra,1.42 Cr - 1.56 Cr,EMI starts at 91.1 K,Prestige Tiara,"Nandanvan, Nagpur",4 BHK Apartment,"Dec, 2019"
nagpur_maharashtra,1.68 Cr - 2.2 Cr,EMI starts at 1.28 Lacs,Concrete Canal Road,"Ramdaspeth, Nagpur",3 BHK Apartment,Ready to Move
nagpur_maharashtra,1.35 Cr,EMI starts at 78.9 K,Sukhyog Govindam,"Gokulpeth, Nagpur",3 BHK Apartment,Ready to Move
